DATA,HORA,UFISICA,Tipo,Agent,Price (€/MW),MW_TOTAL,MW_RUNNING
2020-01-01 00:00:00,1,ALINDO,Hídrica,EDPGP,0.8,52.5,52.5
2020-01-01 00:00:00,1,ALINDO,Hídrica,EDPGP,0.82,37.5,90
2020-01-01 00:00:00,1,ALINDO,Hídrica,EDPGP,3.1,30,120
2020-01-01 00:00:00,1,ALINDO,Hídrica,EDPGP,3.12,39,159
2020-01-01 00:00:00,1,ALINDO,Hídrica,EDPGP,3.14,96,255
2020-01-01 00:00:00,2,ALINDO,Hídrica,EDPGP,0.8,52.5,52.5
2020-01-01 00:00:00,2,ALINDO,Hídrica,EDPGP,0.82,37.5,90
2020-01-01 00:00:00,2,ALINDO,Hídrica,EDPGP,3.99,19.5,109.5
2020-01-01 00:00:00,2,ALINDO,Hídrica,EDPGP,4.01,39,148.5
2020-01-01 00:00:00,2,ALINDO,Hídrica,EDPGP,4.03,96,244.5
2020-01-01 00:00:00,3,ALINDO,Hídrica,EDPGP,0.8,52.5,52.5
2020-01-01 00:00:00,3,ALINDO,Hídrica,EDPGP,0.82,37.5,90
2020-01-01 00:00:00,3,ALINDO,Hídrica,EDPGP,4.99,34.5,124.5
2020-01-01 00:00:00,3,ALINDO,Hídrica,EDPGP,5,34.5,159
2020-01-01 00:00:00,3,ALINDO,Hídrica,EDPGP,5.01,61.5,220.5
2020-01-01 00:00:00,4,ALINDO,Hídrica,EDPGP,0.8,67.5,67.5
2020-01-01 00:00:00,4,ALINDO,Hídrica,EDPGP,5.29,37.5,105
2020-01-01 00:00:00,4,ALINDO,Hídrica,EDPGP,5.31,45,150
2020-01-01 00:00:00,5,ALINDO,Hídrica,EDPGP,0.8,67.5,67.5
2020-01-01 00:00:00,5,ALINDO,Hídrica,EDPGP,4.99,37.5,105
2020-01-01 00:00:00,5,ALINDO,Hídrica,EDPGP,5.01,45,150
2020-01-01 00:00:00,6,ALINDO,Hídrica,EDPGP,0.8,67.5,67.5
2020-01-01 00:00:00,6,ALINDO,Hídrica,EDPGP,5.49,37.5,105
2020-01-01 00:00:00,6,ALINDO,Hídrica,EDPGP,5.51,45,150
2020-01-01 00:00:00,7,ALINDO,Hídrica,EDPGP,0.8,67.5,67.5
2020-01-01 00:00:00,7,ALINDO,Hídrica,EDPGP,4.94,37.5,105
2020-01-01 00:00:00,7,ALINDO,Hídrica,EDPGP,4.96,45,150
2020-01-01 00:00:00,8,ALINDO,Hídrica,EDPGP,0.8,67.5,67.5
2020-01-01 00:00:00,8,ALINDO,Hídrica,EDPGP,4.99,37.5,105
2020-01-01 00:00:00,8,ALINDO,Hídrica,EDPGP,5.01,45,150
2020-01-01 00:00:00,9,ALINDO,Hídrica,EDPGP,0.8,67.5,67.5
2020-01-01 00:00:00,9,ALINDO,Hídrica,EDPGP,4.57,37.5,105
2020-01-01 00:00:00,9,ALINDO,Hídrica,EDPGP,4.59,45,150
2020-01-01 00:00:00,10,ALINDO,Hídrica,EDPGP,0.8,67.5,67.5
2020-01-01 00:00:00,10,ALINDO,Hídrica,EDPGP,7.09,37.5,105
2020-01-01 00:00:00,10,ALINDO,Hídrica,EDPGP,7.11,45,150
2020-01-01 00:00:00,11,ALINDO,Hídrica,EDPGP,0.8,67.5,67.5
2020-01-01 00:00:00,11,ALINDO,Hídrica,EDPGP,8.28,37.5,105
2020-01-01 00:00:00,11,ALINDO,Hídrica,EDPGP,8.3,45,150
